BAIT	IP_Sample_ID	Rank	Uniq_Pep	Acc__	Num_Unique	X__Cov	Best_Disc_Score	Best_Expect_Val	Protein_MW	Species	Protein_Name
negative	CM13	[26]		P62753	2	8	4.94	1.3e-07	28680.9	HOMO SAPIENS	RS6_HUMAN 40S ribosomal protein S6
negative	CM13	[27]		Q9Y2W1	4	7.3	2.42	6e-05	108666.6	HOMO SAPIENS	TR150_HUMAN Thyroid hormone receptor-associated protein 3
negative	CM13	[28]		Q16576	2	12.9	3.75	2.2e-05	47820.5	HOMO SAPIENS	RBBP7_HUMAN Histone-binding protein RBBP7
negative	CM13	[29]		P83731	2	13.4	3.74	1.4e-06	17779.1	HOMO SAPIENS	RL24_HUMAN 60S ribosomal protein L24
negative	CM13	[2]		O14744	26	40.7	5.38	2.1e-09	72684.5	HOMO SAPIENS	ANM5_HUMAN Protein arginine N-methyltransferase 5
negative	CM13	[30]		P18124	2	10.1	3.09	5.4e-05	29226	HOMO SAPIENS	RL7_HUMAN 60S ribosomal protein L7
negative	CM13	[31]		P06748	3	29.3	2.11	0.0016	32575.3	HOMO SAPIENS	NPM_HUMAN Nucleophosmin
negative	CM13	[32]		O75533	6	7.6	1.28	0.0023	145816.7	HOMO SAPIENS	SF3B1_HUMAN Splicing factor 3B subunit 1
negative	CM13	[33]		P36578	3	9.4	2.47	2.1e-05	47697.7	HOMO SAPIENS	RL4_HUMAN 60S ribosomal protein L4
negative	CM13	[34]		Q16531	2	4.7	2.94	5.9e-05	126969	HOMO SAPIENS	DDB1_HUMAN DNA damage-binding protein 1
negative	CM13	[35]		Q9Y6Y0	2	3.6	3.46	1.7e-06	71730.1	HOMO SAPIENS	NS1BP_HUMAN Influenza virus NS1A-binding protein
negative	CM13	[36]		P62314	3	37.8	2.12	0.00026	13281.7	HOMO SAPIENS	SMD1_HUMAN Small nuclear ribonucleoprotein Sm D1
negative	CM13	[37]		P62244	3	33.1	2.08	0.00046	14839.6	HOMO SAPIENS	RS15A_HUMAN 40S ribosomal protein S15a
negative	CM13	[38]		P84090	2	16.3	3.1	2.3e-06	12259.1	HOMO SAPIENS	ERH_HUMAN Enhancer of rudimentary homolog
negative	CM13	[39]		Q99417	2	35.9	2.77	5.1e-05	11966.8	HOMO SAPIENS	MYCBP_HUMAN C-Myc-binding protein
negative	CM13	[3]		O75688	20	57	4.75	4.2e-08	52643.1	HOMO SAPIENS	PPM1B_HUMAN Protein phosphatase 1B
negative	CM13	[40]		Q8N5Z5	2	8.6	2.76	1.1e-05	34888.4	HOMO SAPIENS	KCD17_HUMAN BTB/POZ domain-containing protein KCTD17
negative	CM13	[4-1]	1	P68032	7	22.3	4.84	4.2e-08	42019.4	HOMO SAPIENS	ACTC_HUMAN Actin, alpha cardiac muscle 1
negative	CM13	[41]		P30050	2	14.5	2.35	0.0012	17818.7	HOMO SAPIENS	RL12_HUMAN 60S ribosomal protein L12
negative	CM13	[4-2]	1	P68133	7	22.3	4.84	4.2e-08	42051.4	HOMO SAPIENS	ACTS_HUMAN Actin, alpha skeletal muscle
negative	CM13	[42]		P62913	1	7.9	3.95	2.6e-07	20252.6	HOMO SAPIENS	RL11_HUMAN 60S ribosomal protein L11
negative	CM13	[4-3]	1	P62736	6	19.4	4.84	4.2e-08	42009.4	HOMO SAPIENS	ACTA_HUMAN Actin, aortic smooth muscle
negative	CM13	[43]		P26373	2	10.9	2.01	0.00018	24261.7	HOMO SAPIENS	RL13_HUMAN 60S ribosomal protein L13
negative	CM13	[4-4]	1	P63267	6	19.4	4.84	4.2e-08	41877.3	HOMO SAPIENS	ACTH_HUMAN Actin, gamma-enteric smooth muscle
negative	CM13	[44]		P84103	2	18.3	1.79	0.00013	19329.8	HOMO SAPIENS	SFRS3_HUMAN Splicing factor, arginine/serine-rich 3
negative	CM13	[45]		P62888	1	10.4	3.29	1.6e-06	12784.2	HOMO SAPIENS	RL30_HUMAN 60S ribosomal protein L30
negative	CM13	[46]		P07910	1	5.2	3.24	1.2e-05	33670.3	HOMO SAPIENS	HNRPC_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2
negative	CM13	[47]		O15042	2	1.9	1.82	6.6e-05	118292.9	HOMO SAPIENS	SR140_HUMAN U2-associated protein SR140
negative	CM13	[48]		O95232	1	3.2	2.78	5e-05	51466.6	HOMO SAPIENS	CROP_HUMAN Cisplatin resistance-associated overexpressed protein
negative	CM13	[49]		Q16629	2	12.6	1.47	0.00056	27366.8	HOMO SAPIENS	SFRS7_HUMAN Splicing factor, arginine/serine-rich 7
negative	CM13	[4]		P60709	13	47.5	4.92	4.2e-08	41737.1	HOMO SAPIENS	ACTB_HUMAN Actin, cytoplasmic 1
negative	CM13	[50]		Q13435	2	4	1.46	0.00044	97657.5	HOMO SAPIENS	SF3B2_HUMAN Splicing factor 3B subunit 2
negative	CM13	[51]		O00571	1	1.7	2.58	1.2e-05	73244	HOMO SAPIENS	DDX3X_HUMAN ATP-dependent RNA helicase DDX3X
negative	CM13	[52]		P62424	1	4.1	2.57	0.00011	29995.9	HOMO SAPIENS	RL7A_HUMAN 60S ribosomal protein L7a
negative	CM13	[53]		P68363	1	5.3	2.46	0.00011	50152.1	HOMO SAPIENS	TBA1B_HUMAN Tubulin alpha-1B chain
negative	CM13	[54]		P62318	1	7.9	2.46	9.4e-05	13916.4	HOMO SAPIENS	SMD3_HUMAN Small nuclear ribonucleoprotein Sm D3
negative	CM13	[55]		Q14681	1	6.1	2.3	6.9e-05	28586.4	HOMO SAPIENS	KCTD2_HUMAN BTB/POZ domain-containing protein KCTD2
negative	CM13	[56]		Q8IWX8	2	2.8	1.27	0.0012	103573.9	HOMO SAPIENS	CHERP_HUMAN Calcium homeostasis endoplasmic reticulum protein
negative	CM13	[57]		P68104	1	5.2	1.84	0.00028	50141.3	HOMO SAPIENS	EF1A1_HUMAN Elongation factor 1-alpha 1
negative	CM13	[58]		P62249	1	7.5	1.84	0.00017	16445.5	HOMO SAPIENS	RS16_HUMAN 40S ribosomal protein S16
negative	CM13	[59]		P09661	2	9.8	1.1	0.00064	28415.8	HOMO SAPIENS	RU2A_HUMAN U2 small nuclear ribonucleoprotein A'
negative	CM13	[5]		Q9BQA1	12	55.8	4.34	2.4e-07	36724.7	HOMO SAPIENS	MEP50_HUMAN Methylosome protein 50
negative	CM13	[60]		P14678	2	8.8	1.1	0.0021	24610.3	HOMO SAPIENS	RSMB_HUMAN Small nuclear ribonucleoprotein-associated proteins B and B'
negative	CM13	[61]		P46781	1	4.6	1.76	0.0027	22591.6	HOMO SAPIENS	RS9_HUMAN 40S ribosomal protein S9
negative	CM13	[62]		P62269	1	5.9	1.66	0.00029	17718.8	HOMO SAPIENS	RS18_HUMAN 40S ribosomal protein S18
negative	CM13	[63]		Q15427	1	3.3	1.58	5.9e-05	44386.1	HOMO SAPIENS	SF3B4_HUMAN Splicing factor 3B subunit 4
negative	CM13	[64]		P23588	1	2.6	1.5	0.0013	69224.7	HOMO SAPIENS	IF4B_HUMAN Eukaryotic translation initiation factor 4B
negative	CM13	[65]		P42766	1	10.6	1.5	0.0032	14551.6	HOMO SAPIENS	RL35_HUMAN 60S ribosomal protein L35
negative	CM13	[66]		Q01081	1	7.5	1.37	0.0013	27872.3	HOMO SAPIENS	U2AF1_HUMAN Splicing factor U2AF 35 kDa subunit
negative	CM13	[67]		P62277	1	8.6	1.25	0.0081	17222.4	HOMO SAPIENS	RS13_HUMAN 40S ribosomal protein S13
negative	CM13	[68]		P62701	1	3.4	1.24	0.0041	29598	HOMO SAPIENS	RS4X_HUMAN 40S ribosomal protein S4, X isoform
negative	CM13	[69]		P14866	1	4.7	1.22	0.0016	60187.8	HOMO SAPIENS	HNRPL_HUMAN Heterogeneous nuclear ribonucleoprotein L
negative	CM13	[6]		P98175	13	17.5	4.25	1.4e-07	103460.3	HOMO SAPIENS	RBM10_HUMAN RNA-binding protein 10
negative	CM13	[70]		P62280	2	18.4	0.7	0.0088	18430.9	HOMO SAPIENS	RS11_HUMAN 40S ribosomal protein S11
negative	CM13	[7-1]	1	Q13310	3	6.5	5.53	1.1e-08	70783.5	HOMO SAPIENS	PABP4_HUMAN Polyadenylate-binding protein 4
negative	CM13	[71]		Q9NYF8	1	2	1.15	0.0017	106122.9	HOMO SAPIENS	BCLF1_HUMAN Bcl-2-associated transcription factor 1
negative	CM13	[72]		P62906	1	7.4	1.01	0.0056	24831.5	HOMO SAPIENS	RL10A_HUMAN 60S ribosomal protein L10a
negative	CM13	[73]		P39023	1	2.2	0.99	0.00075	46109.3	HOMO SAPIENS	RL3_HUMAN 60S ribosomal protein L3
negative	CM13	[74]		Q9Y3U8	1	9.5	0.97	0.00033	12253.8	HOMO SAPIENS	RL36_HUMAN 60S ribosomal protein L36
negative	CM13	[75]		P61254	1	6.2	0.92	0.0025	17258.4	HOMO SAPIENS	RL26_HUMAN 60S ribosomal protein L26
negative	CM13	[76]		P10412	1	5.5	0.8	6e-04	21865.4	HOMO SAPIENS	H14_HUMAN Histone H1.4
negative	CM13	[77]		Q9NYJ8	1	2.5	0.72	0.007	76494.8	HOMO SAPIENS	TAB2_HUMAN Mitogen-activated protein kinase kinase kinase 7-interacting protein 2
negative	CM13	[78]		P61247	1	5.3	0.69	0.0089	29945.2	HOMO SAPIENS	RS3A_HUMAN 40S ribosomal protein S3a
negative	CM13	[79]		P63173	1	18.6	0.68	0.0086	8218	HOMO SAPIENS	RL38_HUMAN 60S ribosomal protein L38
negative	CM13	[7]		P11940	8	15.9	5.53	1.1e-08	70671.5	HOMO SAPIENS	PABP1_HUMAN Polyadenylate-binding protein 1
negative	CM13	[80]		P11908	1	6.6	0.66	0.0052	34769.4	HOMO SAPIENS	PRPS2_HUMAN Ribose-phosphate pyrophosphokinase 2
negative	CM13	[81]		Q13247	1	2.6	0.62	0.0067	39587.1	HOMO SAPIENS	SFRS6_HUMAN Splicing factor, arginine/serine-rich 6
negative	CM13	[82]		Q96F45	1	3.7	0.59	0.0065	62555.3	HOMO SAPIENS	ZN503_HUMAN Zinc finger protein 503
negative	CM13	[83]		Q92667	1	1.6	0.4	0.0041	97342.4	HOMO SAPIENS	AKAP1_HUMAN A kinase anchor protein 1, mitochondrial precursor
negative	CM13	[8]		P04264	6	10.1	4	4.7e-07	66018.2	HOMO SAPIENS	K2C1_HUMAN Keratin, type II cytoskeletal 1
negative	CM13	[9]		P54105	5	45.6	4.83	4.6e-08	26215.5	HOMO SAPIENS	ICLN_HUMAN Methylosome subunit pICln
negative	CM240	[10]		P54105	5	37.1	5.48	1.3e-08	26215.5	HUMAN	Methylosome subunit pICln
negative	CM240	[11]		P98175	7	8.7	3.28	7.8e-06	103533.4	HUMAN	RNA-binding protein 10
negative	CM240	[12]		P11940	6	10.8	3.81	8.6e-07	70671.5	HUMAN	Polyadenylate-binding protein 1
negative	CM240	[13]		P23588	5	11.3	3.97	5.2e-07	69151.7	HUMAN	Eukaryotic translation initiation factor 4B
negative	CM240	[14]		P07437	6	16	2.97	7.3e-06	49671.3	HUMAN	Tubulin beta chain
negative	CM240	[15]		Q9Y4B6	4	7.4	3.66	6.2e-06	169008.7	HUMAN	Protein VPRBP
negative	CM240	[16]		Q9NYF8	5	5.4	3.38	1.7e-06	106122.9	HUMAN	Bcl-2-associated transcription factor 1
negative	CM240	[17]		Q16531	2	4.6	5.55	5.1e-09	126969	HUMAN	DNA damage-binding protein 1
negative	CM240	[18-1]	3	P08107	5	10.6	1.98	6.8e-05	70052.8	HUMAN	Heat shock 70 kDa protein 1A/1B
negative	CM240	[18-2]	1	P34931	3	5.5	1.68	6.8e-05	70375.6	HUMAN	Heat shock 70 kDa protein 1-like
negative	CM240	[18]		P11142	3	6	3.68	1.6e-06	70898.7	HUMAN	Heat shock cognate 71 kDa protein
negative	CM240	[19]		Q9BRS2	3	5.8	3.39	5.8e-07	65583.5	HUMAN	Serine/threonine-protein kinase RIO1
negative	CM240	[1]		P52732	36	36.1	5.34	1.1e-08	119160	HUMAN	Kinesin-like protein KIF11
negative	CM240	[20]		Q9NXV2	3	13.7	3.3	1.6e-06	26092.8	HUMAN	BTB/POZ domain-containing protein KCTD5
negative	CM240	[2-1]	1	P60709	14	39.5	6.28	1e-09	41737.1	HUMAN	Actin, cytoplasmic 1
negative	CM240	[21]		Q99417	4	35.9	2.48	3.2e-05	11966.8	HUMAN	C-Myc-binding protein
negative	CM240	[22]		P35527	3	6.1	2.87	3.9e-06	62064.8	HUMAN	Keratin, type I cytoskeletal 9
negative	CM240	[23]		P84090	2	22.1	4.1	2.3e-08	12259.1	HUMAN	Enhancer of rudimentary homolog
negative	CM240	[24]		P62269	3	19.7	2.56	7e-06	17718.8	HUMAN	40S ribosomal protein S18
negative	CM240	[25]		P62316	4	31.4	2.01	6.7e-05	13527	HUMAN	Small nuclear ribonucleoprotein Sm D2
negative	CM240	[26]		Q01804	3	3.7	1.85	0.00032	123917.4	HUMAN	OTU domain-containing protein 4
negative	CM240	[27]		P15927	1	5.9	5.07	2.2e-07	29247.1	HUMAN	Replication protein A 32 kDa subunit
negative	CM240	[28]		P68363	3	10.6	1.96	0.00011	50152.1	HUMAN	Tubulin alpha-1B chain
negative	CM240	[29]		P31943	1	3.1	4.47	1.5e-07	49229.9	HUMAN	Heterogeneous nuclear ribonucleoprotein H
negative	CM240	[2]		P63261	14	39.5	6.85	8e-11	41793.2	HUMAN	Actin, cytoplasmic 2
negative	CM240	[30]		Q00839	2	5.3	2.54	9e-05	90585.2	HUMAN	Heterogeneous nuclear ribonucleoprotein U
negative	CM240	[31]		P61978	2	6	2.64	9.7e-06	50976.7	HUMAN	Heterogeneous nuclear ribonucleoprotein K
negative	CM240	[32]		Q9NQ92	2	21.2	2.2	2.7e-05	20066.6	HUMAN	Cooperator of PRMT5
negative	CM240	[33]		P01614	1	11.3	3.7	2.3e-07	12676.4	HUMAN	Ig kappa chain V-II region Cum
negative	CM240	[34]		P61513	1	19.6	3.67	1.9e-07	10275.4	HUMAN	60S ribosomal protein L37a
negative	CM240	[35]		P62995	1	5.6	3.38	8.1e-07	33665.9	HUMAN	Transformer-2 protein homolog beta
negative	CM240	[36]		P62249	2	13	2.07	1.8e-05	16445.5	HUMAN	40S ribosomal protein S16
negative	CM240	[37]		Q08170	2	4.3	1.4	0.00031	56678.8	HUMAN	Serine/arginine-rich splicing factor 4
negative	CM240	[38]		Q07955	2	9.3	1.43	0.00026	27744.8	HUMAN	Serine/arginine-rich splicing factor 1
negative	CM240	[39]		Q15393	2	2.1	0.85	0.0015	135578.5	HUMAN	Splicing factor 3B subunit 3
negative	CM240	[3]		O14744	16	28.7	4.63	1.2e-07	72684.5	HUMAN	Protein arginine N-methyltransferase 5
negative	CM240	[40]		P23396	2	8.6	0.92	0.0043	26688.6	HUMAN	40S ribosomal protein S3
negative	CM240	[41]		P23528	1	7.8	1.55	0.00065	18502.7	HUMAN	Cofilin-1
negative	CM240	[42]		Q96I25	1	2.2	0.91	0.0033	44961.9	HUMAN	Splicing factor 45
negative	CM240	[43]		P68104	1	2.4	0.84	0.0013	50141.3	HUMAN	Elongation factor 1-alpha 1
negative	CM240	[44]		Q9BYE7	1	4.6	0.74	0.0031	39047.8	HUMAN	Polycomb group RING finger protein 6
negative	CM240	[45]		P10644	1	3.4	0.67	0.0058	42982	HUMAN	cAMP-dependent protein kinase type I-alpha regulatory subunit
negative	CM240	[46]		P22626	1	4.2	0.61	0.0019	37430	HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1
negative	CM240	[47]		Q9BUA3	1	2.1	0.56	0.0081	41037.1	HUMAN	Uncharacterized protein C11orf84
negative	CM240	[48]		P08670	1	2.1	0.46	0.0068	53652.1	HUMAN	Vimentin
negative	CM240	[49]		P13647	1	1.7	0.38	0.007	62378.9	HUMAN	Keratin, type II cytoskeletal 5
negative	CM240	[4]		O75688	13	31.7	4.98	1.7e-08	52643.1	HUMAN	Protein phosphatase 1B
negative	CM240	[5]		Q9BQA1	9	45	5.53	1.4e-08	36724.7	HUMAN	Methylosome protein 50
negative	CM240	[6]		P78347	10	12.2	5.45	3.6e-09	112417.3	HUMAN	General transcription factor II-I
negative	CM240	[7-1]	3	P35908	4	6.1	3.58	1.7e-06	65433.4	HUMAN	Keratin, type II cytoskeletal 2 epidermal
negative	CM240	[7]		P04264	12	23	3.58	1.7e-06	66039.2	HUMAN	Keratin, type II cytoskeletal 1
negative	CM240	[8]		Q9Y2W1	8	11.3	4.36	3e-08	108666.6	HUMAN	Thyroid hormone receptor-associated protein 3
negative	CM240	[9]		P13645	7	13.5	4.42	3.8e-08	58827.5	HUMAN	Keratin, type I cytoskeletal 10
negative	CM26	[10-1]	1	Q9BQE3	9	31.8	4.58	1.3e-07	49895.8	HOMO SAPIENS	TBA1C_HUMAN Tubulin alpha-1C chain
negative	CM26	[10]		P68363	9	31.7	4.58	1.3e-07	50152.1	HOMO SAPIENS	TBA1B_HUMAN Tubulin alpha-1B chain
negative	CM26	[11]		P31943	7	20.7	5.72	1.8e-07	49229.9	HOMO SAPIENS	HNRH1_HUMAN Heterogeneous nuclear ribonucleoprotein H
negative	CM26	[12]		P54105	7	51.1	4.66	5.5e-08	26215.5	HOMO SAPIENS	ICLN_HUMAN Methylosome subunit pICln
negative	CM26	[13]		Q15208	7	21.9	3.69	3.8e-06	54190.7	HOMO SAPIENS	STK38_HUMAN Serine/threonine-protein kinase 38
negative	CM26	[14]		Q8TEB1	4	13.2	6.03	5.6e-09	61670.1	HOMO SAPIENS	WDR23_HUMAN WD repeat-containing protein 23
negative	CM26	[15-1]	1	P68371	5	15.7	2.79	1.5e-05	49831.5	HOMO SAPIENS	TBB2C_HUMAN Tubulin beta-2C chain
negative	CM26	[15-2]	1	P04350	4	13.1	2.71	1.5e-05	49586.2	HOMO SAPIENS	TBB4_HUMAN Tubulin beta-4 chain
negative	CM26	[15]		P07437	6	19.1	4.38	4.8e-08	49671.3	HOMO SAPIENS	TBB5_HUMAN Tubulin beta chain
negative	CM26	[16-1]	1	P08107	2	3.4	1.88	6.8e-05	70052.8	HOMO SAPIENS	HSP71_HUMAN Heat shock 70 kDa protein 1
negative	CM26	[16]		P11142	6	12.8	4.1	1.2e-07	70898.7	HOMO SAPIENS	HSP7C_HUMAN Heat shock cognate 71 kDa protein
negative	CM26	[17]		P38159	6	18.2	3.65	2.1e-06	42332.2	HOMO SAPIENS	HNRPG_HUMAN Heterogeneous nuclear ribonucleoprotein G
negative	CM26	[18]		P10809	4	11.9	5.12	1e-07	61055.2	HOMO SAPIENS	CH60_HUMAN 60 kDa heat shock protein, mitochondrial precursor
negative	CM26	[19]		Q01804	5	6.1	4.19	1.5e-07	124045.5	HOMO SAPIENS	OTUD4_HUMAN OTU domain-containing protein 4
negative	CM26	[1]		P52732	41	41.9	5.22	8.9e-09	119160	HOMO SAPIENS	KIF11_HUMAN Kinesin-like protein KIF11
negative	CM26	[20]		Q15393	5	5.3	3.91	4.7e-07	135578.5	HOMO SAPIENS	SF3B3_HUMAN Splicing factor 3B subunit 3
negative	CM26	[21]		Q9H4A6	4	15.4	4.94	1.9e-08	33810.8	HOMO SAPIENS	GOLP3_HUMAN Golgi phosphoprotein 3
negative	CM26	[22]		P17987	3	12.6	5.57	2.1e-08	60344.1	HOMO SAPIENS	TCPA_HUMAN T-complex protein 1 subunit alpha
negative	CM26	[23-1]	2	P35908	3	5.3	3.42	2.1e-05	65865.8	HOMO SAPIENS	K22E_HUMAN Keratin, type II cytoskeletal 2 epidermal
negative	CM26	[23]		P04264	4	7.6	3.44	1.8e-05	66018.2	HOMO SAPIENS	K2C1_HUMAN Keratin, type II cytoskeletal 1
negative	CM26	[24]		P84090	5	34.6	3.85	1.3e-07	12259.1	HOMO SAPIENS	ERH_HUMAN Enhancer of rudimentary homolog
negative	CM26	[25]		Q00839	4	9	3.81	1.8e-06	90514.1	HOMO SAPIENS	HNRPU_HUMAN Heterogeneous nuclear ribonucleoprotein U
negative	CM26	[26]		P61978	3	11	5.48	1e-08	50976.7	HOMO SAPIENS	HNRPK_HUMAN Heterogeneous nuclear ribonucleoprotein K
negative	CM26	[27]		P23588	6	11	2.8	1.3e-05	69224.7	HOMO SAPIENS	IF4B_HUMAN Eukaryotic translation initiation factor 4B
negative	CM26	[28]		Q9BRS2	5	10.6	3.37	1.2e-06	65583.5	HOMO SAPIENS	RIOK1_HUMAN Serine/threonine-protein kinase RIO1
negative	CM26	[29]		Q9NYF8	7	7.7	2.13	0.00017	106122.9	HOMO SAPIENS	BCLF1_HUMAN Bcl-2-associated transcription factor 1
negative	CM26	[2]		O14744	26	55.3	5.46	6.4e-09	72684.5	HOMO SAPIENS	ANM5_HUMAN Protein arginine N-methyltransferase 5
negative	CM26	[30]		P23396	3	13.2	4.82	4.5e-08	26688.6	HOMO SAPIENS	RS3_HUMAN 40S ribosomal protein S3
negative	CM26	[31]		P62269	4	25	2.71	1.6e-05	17718.8	HOMO SAPIENS	RS18_HUMAN 40S ribosomal protein S18
negative	CM26	[32]		P62995	2	8.7	4.58	2.8e-07	33665.9	HOMO SAPIENS	TRA2B_HUMAN Splicing factor, arginine/serine-rich 10
negative	CM26	[33]		Q99417	4	55.3	2.09	0.00038	11966.8	HOMO SAPIENS	MYCBP_HUMAN C-Myc-binding protein
negative	CM26	[34]		P68104	3	10.2	2.47	3.7e-05	50141.3	HOMO SAPIENS	EF1A1_HUMAN Elongation factor 1-alpha 1
negative	CM26	[35]		Q9Y657	3	15.3	2.17	0.00029	29600.8	HOMO SAPIENS	SPIN1_HUMAN Spindlin-1
negative	CM26	[36]		Q99832	2	7.2	3.27	1.7e-05	59367.2	HOMO SAPIENS	TCPH_HUMAN T-complex protein 1 subunit eta
negative	CM26	[37]		P13645	3	5.6	2.63	8.1e-06	59511.1	HOMO SAPIENS	K1C10_HUMAN Keratin, type I cytoskeletal 10
negative	CM26	[38]		Q13595	2	8.2	3.56	1.6e-06	32688.9	HOMO SAPIENS	TRA2A_HUMAN Transformer-2 protein homolog
negative	CM26	[39]		P78371	1	4.1	5.63	6e-09	57488.7	HOMO SAPIENS	TCPB_HUMAN T-complex protein 1 subunit beta
negative	CM26	[3]		P78347	22	27.9	5.59	1.5e-09	112417.3	HOMO SAPIENS	GTF2I_HUMAN General transcription factor II-I
negative	CM26	[40]		P50991	1	3.2	5.5	1.6e-08	57924.8	HOMO SAPIENS	TCPD_HUMAN T-complex protein 1 subunit delta
negative	CM26	[4-1]	1	P63261	15	50.4	5.36	1e-08	41793.2	HOMO SAPIENS	ACTG_HUMAN Actin, cytoplasmic 2
negative	CM26	[41]		Q16875	4	9.2	1.78	0.00022	59609.7	HOMO SAPIENS	F263_HUMAN 6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
negative	CM26	[4-2]	1	P68032	9	25.2	3.88	7.1e-07	42019.4	HOMO SAPIENS	ACTC_HUMAN Actin, alpha cardiac muscle 1
negative	CM26	[42]		P14866	2	8.8	2.79	0.00033	60187.8	HOMO SAPIENS	HNRPL_HUMAN Heterogeneous nuclear ribonucleoprotein L
negative	CM26	[4-3]	1	P68133	9	25.2	3.88	7.1e-07	42051.4	HOMO SAPIENS	ACTS_HUMAN Actin, alpha skeletal muscle
negative	CM26	[43]		P01614	1	11.3	4.46	1e-07	12676.4	HOMO SAPIENS	KV201_HUMAN Ig kappa chain V-II region Cum
negative	CM26	[4-4]	1	P62736	8	22.3	3.88	7.1e-07	42009.4	HOMO SAPIENS	ACTA_HUMAN Actin, aortic smooth muscle
negative	CM26	[44]		Q16531	2	5.2	2.42	1e-04	126969	HOMO SAPIENS	DDB1_HUMAN DNA damage-binding protein 1
negative	CM26	[4-5]	1	P63267	8	22.3	3.88	7.1e-07	41877.3	HOMO SAPIENS	ACTH_HUMAN Actin, gamma-enteric smooth muscle
negative	CM26	[45]		P62158	2	20.1	2.36	4.2e-05	16837.7	HOMO SAPIENS	CALM_HUMAN Calmodulin
negative	CM26	[46]		Q9UMS4	3	8.9	1.94	0.00016	55181.3	HOMO SAPIENS	PRP19_HUMAN Pre-mRNA-processing factor 19
negative	CM26	[47]		Q07021	1	5.3	3.99	3.7e-07	31362.5	HOMO SAPIENS	C1QBP_HUMAN Complement component 1 Q subcomponent-binding protein, mitochondrial precursor
negative	CM26	[48]		P17844	2	3.7	2.46	2.6e-05	69148.7	HOMO SAPIENS	DDX5_HUMAN Probable ATP-dependent RNA helicase DDX5
negative	CM26	[49]		Q07955	2	8.5	2.23	5.1e-05	27744.8	HOMO SAPIENS	SFRS1_HUMAN Splicing factor, arginine/serine-rich 1
negative	CM26	[4]		P60709	15	50.4	6.72	4.2e-10	41737.1	HOMO SAPIENS	ACTB_HUMAN Actin, cytoplasmic 1
negative	CM26	[50]		P05387	1	10.4	3.66	6.2e-06	11665	HOMO SAPIENS	RLA2_HUMAN 60S acidic ribosomal protein P2
